"genus","species","secure","threatened","taxon"
"Agonopterix","pulvipennella",0.414,0.586,"lepidoptera"
"Agonopterix","robiniella",0.334,0.666,"lepidoptera"
"Agriphila","ruricolellus",0.118,0.882,"lepidoptera"
"Agriphila","vulgivagellus",0.13,0.87,"lepidoptera"
"Agrius","cingulata",0.342,0.658,"lepidoptera"
"Agrochola","bicolorago",0.162,0.838,"lepidoptera"
"Agrochola","lunosa",0.536,0.464,"lepidoptera"
"Agrotis","gladiaria",0.104,0.896,"lepidoptera"
"Agrotis","ipsilon",0.008,0.992,"lepidoptera"
"Agrotis","venerabilis",0.798,0.202,"lepidoptera"
"Allagrapha","aerea",0.264,0.736,"lepidoptera"
"Allotria","elonympha",0.07,0.93,"lepidoptera"
"Alsophila","pometaria",0.18,0.82,"lepidoptera"
"Alypia","octomaculata",0.054,0.946,"lepidoptera"
"Amorbia","humerosana",0.096,0.904,"lepidoptera"
"Amorpha","juglandis",0.12,0.88,"lepidoptera"
"Amphion","floridensis",0.05,0.95,"lepidoptera"
"Amphipyra","pyramidoides",0.018,0.982,"lepidoptera"
"Amydria","effrentella",0.386,0.614,"lepidoptera"
"Anacampsis","agrimoniella",0.424,0.576,"lepidoptera"
"Anacampsis","conclusella",0.38,0.62,"lepidoptera"
"Anacampsis","coverdalella",0.6,0.4,"lepidoptera"
"Anacampsis","levipedella",0.322,0.678,"lepidoptera"
"Anageshna","primordialis",0.012,0.988,"lepidoptera"
"Anagrapha","falcifera",0.02,0.98,"lepidoptera"
"Anania","coronata",0.338,0.662,"lepidoptera"
"Anania","funebris",0.632,0.368,"lepidoptera"
"Anania","quebecensis",0.64,0.36,"lepidoptera"
"Anarsioses","aberrans",0.68,0.32,"lepidoptera"
"Anathix","ralla",0.34,0.66,"lepidoptera"
"Anavitrinella","pampinaria",0.018,0.982,"lepidoptera"
"Ancylis","burgessiana",0.322,0.678,"lepidoptera"
"Ancylis","comptana",0.136,0.864,"lepidoptera"
"Ancylis","divisana",0.23,0.77,"lepidoptera"
"Ancylis","laciniana",0.67,0.33,"lepidoptera"
"Ancylis","platanana",0.236,0.764,"lepidoptera"
"Ancylis","subaequana",0.576,0.424,"lepidoptera"
"Ancylosis","undulatella",0.728,0.272,"lepidoptera"
"Anicla","illapsa",0.538,0.462,"lepidoptera"
"Anicla","infecta",0.158,0.842,"lepidoptera"
"Anisota","senatoria",0.16,0.84,"lepidoptera"
"Anisota","virginiensis",0.072,0.928,"lepidoptera"
"Antaeotricha","albulella",0.724,0.276,"lepidoptera"
"Antaeotricha","humilis",0.234,0.766,"lepidoptera"
"Antaeotricha","leucillana",0.242,0.758,"lepidoptera"
"Antaeotricha","schlaegeri",0.318,0.682,"lepidoptera"
"Antepione","thisoaria",0.468,0.532,"lepidoptera"
"Anterastria","teratophora",0.43,0.57,"lepidoptera"
"Antheraea","polyphemus",0.022,0.978,"lepidoptera"
"Anticarsia","gemmatalis",0.024,0.976,"lepidoptera"
"Anticlea","multiferata",0.296,0.704,"lepidoptera"
"Anticlea","vasiliata",0.678,0.322,"lepidoptera"
"Apantesis","arge",0.784,0.216,"lepidoptera"
"Apantesis","carlotta",0.174,0.826,"lepidoptera"
"Apantesis","nais",0.084,0.916,"lepidoptera"
"Apantesis","phalerata",0.02,0.98,"lepidoptera"
"Apatelodes","torrefacta",0.072,0.928,"lepidoptera"
"Aphomia","sociella",0.192,0.808,"lepidoptera"
"Aphomia","terrenella",0.65,0.35,"lepidoptera"
"Apoda","biguttata",0.07,0.93,"lepidoptera"
"Apoda","y-inversa",0.186,0.814,"lepidoptera"
"Apogeshna","stenialis",0.198,0.802,"lepidoptera"
"Archips","purpurana",0.658,0.342,"lepidoptera"
"Arequipa","turbatella",0.89,0.11,"lepidoptera"
"Argyresthia","apicimaculella",0.39,0.61,"lepidoptera"
"Argyresthia","calliphanes",0.896,0.104,"lepidoptera"
"Argyresthia","oreasella",0.584,0.416,"lepidoptera"
"Argyresthia","subreticulata",0.342,0.658,"lepidoptera"
"Argyria","auratella",0.526,0.474,"lepidoptera"
"Argyria","lacteella",0.424,0.576,"lepidoptera"
"Argyria","nivalis",0.008,0.992,"lepidoptera"
"Argyrostrotis","anilis",0.774,0.226,"lepidoptera"
"Argyrotaenia","alisellana",0.242,0.758,"lepidoptera"
"Argyrotaenia","ivana",0.494,0.506,"lepidoptera"
"Argyrotaenia","kimballi",0.72,0.28,"lepidoptera"
"Argyrotaenia","mariana",0.606,0.394,"lepidoptera"
"Argyrotaenia","pinatubana",0.122,0.878,"lepidoptera"
"Argyrotaenia","quercifoliana",0.048,0.952,"lepidoptera"
"Argyrotaenia","tabulana",0.338,0.662,"lepidoptera"
"Argyrotaenia","velutinana",0.042,0.958,"lepidoptera"
"Aristotelia","fungivorella",0.382,0.618,"lepidoptera"
"Aristotelia","lespedezae",0.496,0.504,"lepidoptera"
"Aristotelia","pudibundella",0.518,0.482,"lepidoptera"
"Aristotelia","roseosuffusella",0.486,0.514,"lepidoptera"
"Aristotelia","rubidella",0.456,0.544,"lepidoptera"
"Arogalea","cristifasciella",0.076,0.924,"lepidoptera"
"Arta","olivalis",0.75,0.25,"lepidoptera"
"Arta","statalis",0.028,0.972,"lepidoptera"
"Arugisa","latiorella",0.514,0.486,"lepidoptera"
"Arugisa","lutea",0.302,0.698,"lepidoptera"
"Ascalapha","odorata",0.248,0.752,"lepidoptera"
"Aspilanta","hydrangaeella",0.7,0.3,"lepidoptera"
"Atalopedes","campestris",0.032,0.968,"lepidoptera"
"Atascosa","glareosella",0.316,0.684,"lepidoptera"
"Athetis","tarda",0.14,0.86,"lepidoptera"
"Atteva","punctella",0.002,0.998,"lepidoptera"
"Autographa","precationis",0.096,0.904,"lepidoptera"
"Automeris","io",0.07,0.93,"lepidoptera"
"Azenia","obtusa",0.15,0.85,"lepidoptera"
"Bactra","furfurana",0.492,0.508,"lepidoptera"
"Bactra","verutana",0.506,0.494,"lepidoptera"
"Bagisara","rectifascia",0.342,0.658,"lepidoptera"
"Baileya","australis",0.274,0.726,"lepidoptera"
"Baileya","dormitans",0.436,0.564,"lepidoptera"
"Baileya","doubledayi",0.682,0.318,"lepidoptera"
"Baileya","ophthalmica",0.318,0.682,"lepidoptera"
"Balsa","labecula",0.442,0.558,"lepidoptera"
"Balsa","tristrigella",0.276,0.724,"lepidoptera"
"Basilodes","pepita",0.22,0.78,"lepidoptera"
"Battaristis","concinnusella",0.22,0.78,"lepidoptera"
"Battaristis","nigratomella",0.566,0.434,"lepidoptera"
"Battaristis","vittella",0.026,0.974,"lepidoptera"
"Bedellia","somnulentella",0.342,0.658,"lepidoptera"
"Bellura","densa",0.262,0.738,"lepidoptera"
"Bellura","obliqua",0.458,0.542,"lepidoptera"
"Bembecia","marginatum",0.184,0.816,"lepidoptera"
"Besma","endropiaria",0.542,0.458,"lepidoptera"
"Besma","quercivoraria",0.046,0.954,"lepidoptera"
"Bibarrambla","allenella",0.674,0.326,"lepidoptera"
"Biston","betularia",0.462,0.538,"lepidoptera"
"Blastobasis","glandulella",0.3,0.7,"lepidoptera"
"Blepharomastix","ranalis",0.06,0.94,"lepidoptera"
"Bleptina","caradrinalis",0.04,0.96,"lepidoptera"
"Bleptina","inferior",0.6,0.4,"lepidoptera"
"Brenthia","pavonacella",0.536,0.464,"lepidoptera"
"Bucculatrix","coronatella",0.482,0.518,"lepidoptera"
"Cabnia","myronella",0.366,0.634,"lepidoptera"
"Caenurgia","chloropha",0.412,0.588,"lepidoptera"
"Caenurgina","crassiuscula",0.214,0.786,"lepidoptera"
"Caenurgina","erechtea",0.052,0.948,"lepidoptera"
"Cagiva","cephalanthana",0.336,0.664,"lepidoptera"
"Calledapteryx","dryopterata",0.266,0.734,"lepidoptera"
"Callizzia","amorata",0.332,0.668,"lepidoptera"
"Callopistria","cordata",0.322,0.678,"lepidoptera"
"Callopistria","floridensis",0.398,0.602,"lepidoptera"
"Callopistria","mollissima",0.19,0.81,"lepidoptera"
"Callosamia","angulifera",0.058,0.942,"lepidoptera"
"Callosamia","promethea",0.076,0.924,"lepidoptera"
"Caloptilia","azaleella",0.326,0.674,"lepidoptera"
"Caloptilia","belfragella",0.432,0.568,"lepidoptera"
"Caloptilia","bimaculatella",0.132,0.868,"lepidoptera"
"Caloptilia","blandella",0.332,0.668,"lepidoptera"
"Caloptilia","negundella",0.528,0.472,"lepidoptera"
"Caloptilia","ostryaeella",0.24,0.76,"lepidoptera"
"Caloptilia","packardella",0.526,0.474,"lepidoptera"
"Caloptilia","rhoifoliella",0.12,0.88,"lepidoptera"
"Caloptilia","sassafrasella",0.426,0.574,"lepidoptera"
"Caloptilia","stigmatella",0.222,0.778,"lepidoptera"
"Caloptilia","violacella",0.316,0.684,"lepidoptera"
"Calpodes","ethlius",0.52,0.48,"lepidoptera"
"Calyptra","canadensis",0.604,0.396,"lepidoptera"
"Cameraria","caryaefoliella",0.48,0.52,"lepidoptera"
"Cameraria","guttifinitella",0.024,0.976,"lepidoptera"
"Cameraria","hamadryadella",0.46,0.54,"lepidoptera"
"Cameraria","hamameliella",0.382,0.618,"lepidoptera"
"Cameraria","tubiferella",0.588,0.412,"lepidoptera"
"Campaea","perlata",0.112,0.888,"lepidoptera"
"Carectocultus","dominicki",0.67,0.33,"lepidoptera"
"Caripeta","divisata",0.754,0.246,"lepidoptera"
"Carmenta","bassiformis",0.232,0.768,"lepidoptera"
"Carmenta","pyralidiformis",0.366,0.634,"lepidoptera"
"Carolana","ascriptella",0.454,0.546,"lepidoptera"
"Catocala","amatrix",0.19,0.81,"lepidoptera"
"Catocala","angusi",0.398,0.602,"lepidoptera"
"Catocala","blandula",0.914,0.086,"lepidoptera"
"Catocala","cara",0.608,0.392,"lepidoptera"
"Catocala","coccinata",0.404,0.596,"lepidoptera"
"Catocala","epione",0.332,0.668,"lepidoptera"
"Catocala","grynea",0.322,0.678,"lepidoptera"
"Catocala","ilia",0.066,0.934,"lepidoptera"
"Catocala","lacrymosa",0.328,0.672,"lepidoptera"
"Catocala","lineella",0.44,0.56,"lepidoptera"
"Catocala","maestosa",0.36,0.64,"lepidoptera"
"Catocala","micronympha",0.626,0.374,"lepidoptera"
"Catocala","nebulosa",0.316,0.684,"lepidoptera"
"Catocala","neogama",0.462,0.538,"lepidoptera"
"Catocala","obscura",0.458,0.542,"lepidoptera"
"Catocala","palaeogama",0.356,0.644,"lepidoptera"
"Catocala","piatrix",0.162,0.838,"lepidoptera"
"Catocala","residua",0.314,0.686,"lepidoptera"
"Catocala","retecta",0.75,0.25,"lepidoptera"
"Catocala","ultronia",0.18,0.82,"lepidoptera"
"Catocala","vidua",0.122,0.878,"lepidoptera"
"Caudellia","apyrella",0.442,0.558,"lepidoptera"
"Cecrita","biundata",0.098,0.902,"lepidoptera"
"Cecrita","guttivitta",0.254,0.746,"lepidoptera"
"Celastrina","idella",0.588,0.412,"lepidoptera"
"Celiptera","frustulum",0.106,0.894,"lepidoptera"
"Celypha","cespitana",0.076,0.924,"lepidoptera"
"Cenopis","cana",0.378,0.622,"lepidoptera"
"Cenopis","reticulatana",0.194,0.806,"lepidoptera"
"Cepphis","armataria",0.648,0.352,"lepidoptera"
"Cepphis","decoloraria",0.546,0.454,"lepidoptera"
"Cerastis","tenebrifera",0.214,0.786,"lepidoptera"
"Ceratomia","amyntor",0.176,0.824,"lepidoptera"
"Ceratomia","catalpae",0.022,0.978,"lepidoptera"
"Ceratomia","undulosa",0.362,0.638,"lepidoptera"
"Cerma","cerintha",0.06,0.94,"lepidoptera"
"Chaetaglaea","sericea",0.274,0.726,"lepidoptera"
"Chalcoela","iphitalis",0.156,0.844,"lepidoptera"
"Charadra","deridens",0.092,0.908,"lepidoptera"
"Chilo","plejadellus",0.552,0.448,"lepidoptera"
"Chimoptesis","gerulae",0.272,0.728,"lepidoptera"
"Chimoptesis","pensylvaniana",0.374,0.626,"lepidoptera"
"Chionodes","discoocellella",0.158,0.842,"lepidoptera"
"Chionodes","fuscomaculella",0.5,0.5,"lepidoptera"
"Chionodes","mediofuscella",0.13,0.87,"lepidoptera"
"Chionodes","rabula",0.426,0.574,"lepidoptera"
"Chionodes","thoraceochrella",0.358,0.642,"lepidoptera"
"Chloridea","virescens",0.284,0.716,"lepidoptera"
"Chlorochlamys","chloroleucaria",0.048,0.952,"lepidoptera"
"Chloropteryx","tepperaria",0.56,0.44,"lepidoptera"
"Choephora","fungorum",0.168,0.832,"lepidoptera"
"Choristoneura","fractivittana",0.266,0.734,"lepidoptera"
"Choristoneura","parallela",0.074,0.926,"lepidoptera"
"Choristoneura","pinus",0.854,0.146,"lepidoptera"
"Choristoneura","rosaceana",0.02,0.98,"lepidoptera"
"Chrysanympha","formosa",0.896,0.104,"lepidoptera"
"Chrysaster","ostensackenella",0.29,0.71,"lepidoptera"
"Chrysendeton","imitabilis",0.536,0.464,"lepidoptera"
"Chrysendeton","medicinalis",0.556,0.444,"lepidoptera"
"Chrysodeixis","includens",0.078,0.922,"lepidoptera"
"Chrysoteuchia","topiarius",0.222,0.778,"lepidoptera"
"Chytonix","palliatricula",0.022,0.978,"lepidoptera"
"Cingilia","catenaria",0.9,0.1,"lepidoptera"
"Cirrhophanus","triangulifer",0.066,0.934,"lepidoptera"
"Cisseps","fulvicollis",0.006,0.994,"lepidoptera"
"Cissusa","spadix",0.356,0.644,"lepidoptera"
"Cisthene","kentuckiensis",0.536,0.464,"lepidoptera"
"Cisthene","plumbea",0.034,0.966,"lepidoptera"
"Cladara","limitaria",0.262,0.738,"lepidoptera"
"Clemensia","albata",0.054,0.946,"lepidoptera"
"Cleora","sublunaria",0.672,0.328,"lepidoptera"
"Clepsis","clemensiana",0.418,0.582,"lepidoptera"
"Clepsis","melaleucanus",0.582,0.418,"lepidoptera"
"Clepsis","peritana",0.112,0.888,"lepidoptera"
"Clepsis","virescana",0.302,0.698,"lepidoptera"
"Clostera","albosigma",0.29,0.71,"lepidoptera"
"Clostera","inclusa",0.132,0.868,"lepidoptera"
"Clydonopteron","sacculana",0.498,0.502,"lepidoptera"
"Coelostathma","discopunctana",0.08,0.92,"lepidoptera"
"Coleophora","cratipennella",0.526,0.474,"lepidoptera"
"Coleophora","deauratella",0.402,0.598,"lepidoptera"
"Coleophora","mayrella",0.398,0.602,"lepidoptera"
"Colobochyla","interpuncta",0.43,0.57,"lepidoptera"
"Colocasia","flavicornis",0.348,0.652,"lepidoptera"
"Colocasia","propinquilinea",0.558,0.442,"lepidoptera"
"Conchylodes","ovulalis",0.15,0.85,"lepidoptera"
"Condica","sutor",0.554,0.446,"lepidoptera"
"Condica","vecors",0.208,0.792,"lepidoptera"
"Condica","videns",0.348,0.652,"lepidoptera"
"Condylolomia","participialis",0.236,0.764,"lepidoptera"
"Coptotriche","aenea",0.35,0.65,"lepidoptera"
"Coptotriche","citrinipennella",0.392,0.608,"lepidoptera"
"Cosmia","calami",0.506,0.494,"lepidoptera"
"Cosmiotes","illectella",0.286,0.714,"lepidoptera"
"Cosmopterix","astrapias",0.31,0.69,"lepidoptera"
"Cosmopterix","clandestinella",0.56,0.44,"lepidoptera"
"Cosmopterix","gemmiferella",0.646,0.354,"lepidoptera"
"Costaconvexa","centrostrigaria",0.032,0.968,"lepidoptera"
"Crambidia","lithosioides",0.436,0.564,"lepidoptera"
"Crambidia","pallida",0.124,0.876,"lepidoptera"
"Crambidia","uniformis",0.192,0.808,"lepidoptera"
"Crambidia","xanthocorpa",0.564,0.436,"lepidoptera"
"Crambodes","talidiformis",0.674,0.326,"lepidoptera"
"Crambus","agitatellus",0.012,0.988,"lepidoptera"
"Crambus","albellus",0.172,0.828,"lepidoptera"
"Crambus","bidens",0.744,0.256,"lepidoptera"
"Crambus","braunellus",0.578,0.422,"lepidoptera"
"Crambus","girardellus",0.488,0.512,"lepidoptera"
"Crambus","laqueatellus",0.112,0.888,"lepidoptera"
"Crambus","praefectellus",0.118,0.882,"lepidoptera"
"Crambus","quinquareatus",0.728,0.272,"lepidoptera"
"Crambus","saltuellus",0.334,0.666,"lepidoptera"
"Crambus","satrapellus",0.568,0.432,"lepidoptera"
"Crambus","youngellus",0.424,0.576,"lepidoptera"
"Crocidophora","serratissimalis",0.07,0.93,"lepidoptera"
"Crocidophora","tuberculalis",0.018,0.982,"lepidoptera"
"Crocigrapha","normani",0.31,0.69,"lepidoptera"
"Cryptographis","nitidalis",0.318,0.682,"lepidoptera"
"Ctenoplusia","oxygramma",0.18,0.82,"lepidoptera"
"Ctenucha","virginica",0.624,0.376,"lepidoptera"
"Cucullia","asteroides",0.18,0.82,"lepidoptera"
"Cucullia","convexipennis",0.218,0.782,"lepidoptera"
"Cucullia","speyeri",0.416,0.584,"lepidoptera"
"Cyaniris","neglecta",0.03,0.97,"lepidoptera"
"Cyclophora","myrtaria",0.432,0.568,"lepidoptera"
"Cyclophora","packardi",0.022,0.978,"lepidoptera"
"Cyclophora","pendulinaria",0.402,0.598,"lepidoptera"
"Cycloplasis","panicifoliella",0.558,0.442,"lepidoptera"
"Cycnia","oregonensis",0.12,0.88,"lepidoptera"
"Cycnia","tenera",0.014,0.986,"lepidoptera"
"Cydia","caryana",0.316,0.684,"lepidoptera"
"Cydia","latiferreana",0.11,0.89,"lepidoptera"
"Cydia","pomonella",0.21,0.79,"lepidoptera"
"Cydia","toreuta",0.296,0.704,"lepidoptera"
"Danaus","gilippus",0.586,0.414,"lepidoptera"
"Danaus","plexippus",0.034,0.966,"lepidoptera"
"Darapsa","choerilus",0.128,0.872,"lepidoptera"
"Darapsa","myron",0.062,0.938,"lepidoptera"
"Dargida","rubripennis",0.492,0.508,"lepidoptera"
"Dasychira","atrivenosa",0.536,0.464,"lepidoptera"
"Dasychira","meridionalis",0.364,0.636,"lepidoptera"
"Dasychira","obliquata",0.286,0.714,"lepidoptera"
"Dasychira","tephra",0.258,0.742,"lepidoptera"
"Dasylophia","anguina",0.304,0.696,"lepidoptera"
"Dasylophia","thyatiroides",0.45,0.55,"lepidoptera"
"Datana","angusii",0.158,0.842,"lepidoptera"
"Datana","contracta",0.138,0.862,"lepidoptera"
"Datana","integerrima",0.13,0.87,"lepidoptera"
"Datana","major",0.398,0.602,"lepidoptera"
"Datana","ministra",0.094,0.906,"lepidoptera"
"Datana","perspicua",0.728,0.272,"lepidoptera"
"Decantha","borkhausenii",0.152,0.848,"lepidoptera"
"Decantha","stecia",0.522,0.478,"lepidoptera"
"Deidamia","inscriptum",0.232,0.768,"lepidoptera"
"Deltophora","sella",0.394,0.606,"lepidoptera"
"Deltote","bellicula",0.548,0.452,"lepidoptera"
"Desmia","funeralis",0.016,0.984,"lepidoptera"
"Diachorisia","velatella",0.424,0.576,"lepidoptera"
"Diachrysia","balluca",0.71,0.29,"lepidoptera"
"Diasemiodes","janassialis",0.356,0.644,"lepidoptera"
"Diasemiodes","nigralis",0.608,0.392,"lepidoptera"
"Dichomeris","agonia",0.264,0.736,"lepidoptera"
"Dichomeris","bolize",0.55,0.45,"lepidoptera"
"Dichomeris","flavocostella",0.12,0.88,"lepidoptera"
"Dichomeris","heriguronis",0.202,0.798,"lepidoptera"
"Dichomeris","inserrata",0.31,0.69,"lepidoptera"
"Dichomeris","inversella",0.068,0.932,"lepidoptera"
"Dichomeris","isa",0.354,0.646,"lepidoptera"
"Dichomeris","juncidella",0.25,0.75,"lepidoptera"
"Dichomeris","kimballi",0.178,0.822,"lepidoptera"
"Dichomeris","laetitia",0.638,0.362,"lepidoptera"
"Dichomeris","ligulella",0.064,0.936,"lepidoptera"
"Dichomeris","nonstrigella",0.37,0.63,"lepidoptera"
"Dichomeris","offula",0.594,0.406,"lepidoptera"
"Dichomeris","punctidiscellus",0.194,0.806,"lepidoptera"
"Dichomeris","punctipennella",0.05,0.95,"lepidoptera"
"Dichomeris","setosella",0.426,0.574,"lepidoptera"
"Dichomeris","siren",0.522,0.478,"lepidoptera"
"Dichomeris","ventrellus",0.458,0.542,"lepidoptera"
"Dichorda","iridaria",0.39,0.61,"lepidoptera"
"Dichrorampha","bittana",0.322,0.678,"lepidoptera"
"Dicymolomia","julianalis",0.092,0.908,"lepidoptera"
"Digrammia","continuata",0.136,0.864,"lepidoptera"
"Digrammia","gnophosaria",0.176,0.824,"lepidoptera"
"Digrammia","ocellinata",0.014,0.986,"lepidoptera"
"Dinumma","deponens",0.37,0.63,"lepidoptera"
"Dione","vanillae",0.266,0.734,"lepidoptera"
"Dioryctria","clarioralis",0.56,0.44,"lepidoptera"
"Dioryctria","disclusa",0.504,0.496,"lepidoptera"
"Diploschizia","impigritella",0.18,0.82,"lepidoptera"
"Disclisioprocta","stellata",0.15,0.85,"lepidoptera"
"Dolba","hyloeus",0.138,0.862,"lepidoptera"
"Dolichomia","binodulalis",0.566,0.434,"lepidoptera"
"Donacaula","longirostrallus",0.398,0.602,"lepidoptera"
"Drepana","arcuata",0.436,0.564,"lepidoptera"
"Dryocampa","rubicunda",0.038,0.962,"lepidoptera"
"Duponchelia","fovealis",0.538,0.462,"lepidoptera"
"Dypterygia","rozmani",0.334,0.666,"lepidoptera"
"Dyseriocrania","griseocapitella",0.212,0.788,"lepidoptera"
"Dysodia","oculatana",0.568,0.432,"lepidoptera"
"Dyspteris","abortivaria",0.182,0.818,"lepidoptera"
"Dyspyralis","illocata",0.432,0.568,"lepidoptera"
"Eacles","imperialis",0.016,0.984,"lepidoptera"
"Ecdytolopha","insiticiana",0.048,0.952,"lepidoptera"
"Ectoedemia","clemensella",0.572,0.428,"lepidoptera"
"Ectoedemia","nyssaefoliella",0.506,0.494,"lepidoptera"
"Ectoedemia","platanella",0.468,0.532,"lepidoptera"
"Ectoedemia","rubifoliella",0.528,0.472,"lepidoptera"
"Ectropis","crepuscularia",0.064,0.936,"lepidoptera"
"Egira","alternans",0.304,0.696,"lepidoptera"
"Eido","trimaculella",0.832,0.168,"lepidoptera"
"Elaphria","chalcedonia",0.188,0.812,"lepidoptera"
"Elaphria","festivoides",0.372,0.628,"lepidoptera"
"Elaphria","georgei",0.602,0.398,"lepidoptera"
"Elaphria","grata",0.026,0.974,"lepidoptera"
"Elaphria","versicolor",0.092,0.908,"lepidoptera"
"Elasmopalpus","lignosella",0.462,0.538,"lepidoptera"
"Ellida","caniplaga",0.38,0.62,"lepidoptera"
"Elophila","faulalis",0.554,0.446,"lepidoptera"
"Elophila","gyralis",0.142,0.858,"lepidoptera"
"Elophila","icciusalis",0.22,0.78,"lepidoptera"
"Elophila","obliteralis",0.056,0.944,"lepidoptera"
"Emmelina","monodactyla",0.126,0.874,"lepidoptera"
"Endothenia","hebesana",0.182,0.818,"lepidoptera"
"Enigmogramma","basigera",0.308,0.692,"lepidoptera"
