assessmentId,internalTaxonId,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,habitat,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
4354186,13714,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
4354217,13715,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
4354248,13716,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Indomalayan,,false,false,Global
4424291,14216,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Australasian,,false,false,Global
4425620,14225,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,This species is a slave-making ant that conducts slave raids with group recruitments and sting fighting. Forms colonies with the host ant <em>Leptothorax unifasciatus</em>. Colonies inhabit narrow galleries between and underneath small stones on rocky hill slopes in deciduous forest (birch and spruce forests).,,,,,Terrestrial,,Palearctic,,false,false,Global
4425696,14228,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
4425744,14230,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Indomalayan,,false,false,Global
4425775,14231,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
4425806,14232,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
4425837,14233,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
4425868,14234,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
4425904,14235,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
4425935,14236,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
4425966,14237,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
4425997,14238,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
4426028,14239,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
4426059,14240,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
4426090,14241,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
4426121,14242,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
4465171,14849,Critically Endangered,B1+2c,1996,1996-08-01 00:00:00 UTC,2.3,English,,Only a few small colonies of this species are known (D. Agosti pers. comm. 1995).,,,,Terrestrial,,Australasian,,false,false,Global
4881801,1560,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Afrotropical,,false,false,Global
5133789,15773,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
5136387,15774,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
5138374,15775,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
6358216,1675,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
6560754,16906,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
6561759,16908,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
6562628,16902,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Indomalayan,,false,false,Global
6562859,16909,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
6564643,16903,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
6565085,16910,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
6566906,16904,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Indomalayan,,false,false,Global
6569383,16905,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Afrotropical,,false,false,Global
6571759,16907,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
7087398,17464,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
7087429,17465,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
7087460,17466,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
7610054,17880,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
7613361,17881,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
7636744,17927,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
7636775,17928,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
7636806,17929,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
7637638,17930,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
8032804,1831,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
8177548,18379,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
8317016,18470,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
8419797,18548,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
9003763,19692,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Indomalayan,,false,false,Global
9003794,19693,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9154636,20161,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Afrotropical,,false,false,Global
9186672,20324,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
9186731,20325,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
9235461,20914,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9235591,20915,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9235721,20916,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9235851,20917,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9235981,20919,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9236304,20920,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9236335,20921,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9236366,20922,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9236397,20923,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9236428,20924,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9236459,20925,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9236490,20926,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9236526,20927,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9236557,20928,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9236588,20929,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9237096,20930,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9237127,20931,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9237163,20932,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9237194,20933,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9237225,20934,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9237256,20935,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9237287,20936,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9237318,20937,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9237349,20938,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9237797,20941,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Australasian,,false,false,Global
9267343,21310,Lower Risk/near threatened,,1996,1996-08-01 00:00:00 UTC,2.3,English,"The species is restricted to residual pine/oak barrens and savannas in low elevational, low relief sections of the northeastern US and sout-western Ontario. It is univoltine throughout it's range. (F, Kurczewski, pers comm. 1996)","Sparingly inhabits 35 localities in the Lower Peninsula of Michigan, but only six localities in lower Michigan south of 43* of latitude, single localities in the Oak Openings Preserve, Lucas County, Ohio and Pinery Provincial Park, Lambton County, Ontario and eight localities in Atlantic, Burlington CapeMay and Ocean Countires, New Jersey.&#160;(F, Kurczewski, pers comm. 1996)",,"Lower Michigan, Pinary Provincial Park, Lambton County, SW Ontario, Oak Openings Preserve, Lucas County, NW Ohio, New Jersey Pinelands National Reserve S New Jersey (F, Kurczewski, pers comm 1996)",,Terrestrial,"93% of areas already preserved, fate rests solely on protection and maintenance of national, state and provincial forests, parks and preserves.&#160;(F, Kurczewski, pers comm. 1996)",Nearctic,,false,false,Global
9301467,21569,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9301532,21570,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
9308095,21667,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Afrotropical,,false,false,Global
9308131,21668,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Afrotropical,,false,false,Global
10033880,3718,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10136257,3857,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Afrotropical,,false,false,Global
10315068,4014,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10360291,40729,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
10360341,40730,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10360391,40731,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10360441,40732,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10360495,40733,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Afrotropical,,false,false,Global
10360549,40734,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10360580,40735,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10592273,41982,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
10592704,41983,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
10593077,41984,Lower Risk/near threatened,,1996,1996-08-01 00:00:00 UTC,2.3,English,"Wood ants generally require heterogeneous forest habitat, with some gaps  to allow sunlight to reach the lower strata and warm up the ant nests  (D. Agosti pers. comm. 1995). It is not clear how well these ants can  disperse within fragmented parts of the forest (D. Agosti pers. comm.  1995).",,,,,Terrestrial,,Palearctic,,false,false,Global
10593624,41985,Lower Risk/least concern,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10846836,4406,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10849222,4408,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10850295,4402,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10850837,4409,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10851926,4403,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10852706,4404,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10853637,4405,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
10854795,4407,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
11248789,5510,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
12654209,63382,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12808270,6808,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12808325,6809,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12808356,6810,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12808387,6811,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
12854740,7844,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12854805,7845,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12854836,7846,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12854867,7847,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12854898,7848,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12854929,7849,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12854960,7850,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12854991,7851,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12855022,7852,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12855053,7853,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12924300,8642,Lower Risk/near threatened,,1996,1996-08-01 00:00:00 UTC,2.3,English,"Found mostly in coniferous forests, but also in alpine grasslands. Wood ants generally require heterogeneous forest habitat, with some gaps to allow sunlight to reach the lower strata and warm up the ant nests (D. Agosti pers. comm. 1995). It is not clear how well these ants can disperse within fragmented parts of the forest (D. Agosti pers. comm. 1995).",,,,,Terrestrial,Ants from the <em>Formica rufa</em> group are protected by law in many European countries (D. Agosti pers. comm. 1995).,Palearctic,,false,false,Global
12924499,8643,Lower Risk/near threatened,,1996,1996-08-01 00:00:00 UTC,2.3,English,"Wood ants generally require heterogeneous forest habitat, with some gaps to allow sunlight to reach the lower strata and warm up the ant nests (D. Agosti pers. comm. 1995).It is not clear how well these ants can disperse within fragmented parts of the forest (D. Agosti pers. comm. 1995).",,,,,Terrestrial,Ants from the <em>Formica rufa </em>group are protected by law in many European countries (D. Agosti pers. comm. 1995).,Palearctic,,false,false,Global
12924699,8644,Lower Risk/near threatened,,1996,1996-08-01 00:00:00 UTC,2.3,English,"Wood ants generally require heterogeneous forest habitat, with some gaps to allow sunlight to reach the lower strata and warm up the ant nests (D. Agosti pers. comm. 1995). It is not clear how well these ants can disperse within fragmented parts of the forest (D. Agosti pers. comm. 1995).",,,,,Terrestrial,Ants from the <em>Formica rufa </em>group are protected by law in many European countries (D. Agosti pers. comm. 1995).,Palearctic,,false,false,Global
12924924,8645,Lower Risk/near threatened,,1996,1996-08-01 00:00:00 UTC,2.3,English,"Wood ants generally require heterogeneous forest habitat, with some gaps to allow sunlight to reach the lower strata and warm up the ant nests (D. Agosti pers. comm. 1995). It is not clear how well these ants can disperse within fragmented parts of the forest (D. Agosti pers. comm. 1995).",,,,,Terrestrial,Ants from the <em>Formica rufa </em>group are protected by law in many European countries (D. Agosti pers. comm. 1995).,Palearctic,,false,false,Global
12925189,8647,Lower Risk/near threatened,,1996,1996-08-01 00:00:00 UTC,2.3,English,"Wood ants generally require heterogeneous forest habitat, with some gaps to allow sunlight to reach the lower strata and warm up the ant nests (D. Agosti pers. comm. 1995). It is not clear how well these ants can disperse within fragmented parts of the forest (D. Agosti pers. comm. 1995).",,,,,Terrestrial,Ants from the <em>Formica rufa </em>group are protected by law in many European countries (D. Agosti pers. comm. 1995).,Palearctic,,false,false,Global
12925323,8649,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
12925354,8650,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
12925385,8656,Vulnerable,A2c,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12925461,8657,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
12925492,8658,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
12925528,8659,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
12925559,8660,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
13012215,9731,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
13012251,9732,Vulnerable,A2c,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
13059247,522,Critically Endangered,B1+2c,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,"The genus <em>Adetomyrma</em> was recently discovered in Madagascar and, despite some extensive efforts, not found elsewhere (D. Agosti pers. comm. 1995).",,Terrestrial,,Afrotropical,,false,false,Global
